time,env_condition,Electric UV light,PM Sensor,Motion Detect,Air Q sensor,temperature,humidity,CO reading
1:26:00 am,warm & dry,Off,0.008,Off,0.02,25.7,51,0.005
3:50:00 am,cold & wet,Off,0.005,Off,0.013,22.7,76,0.003
6:14:00 am,warm & dry,Off,0.008,Off,0.02,24.6,50.9,0.005
8:38:00 am,var temp & humid,On,0.007,Off,0.019,28,76.8,0.004
11:02:00 am,warm & dry,Off,0.008,Off,0.02,26.6,50.9,0.005
1:26:00 pm,var temp & humid,On,0.007,Off,0.019,30,57.9,0.004
3:50:00 pm,warm & dry,Off,0.008,Off,0.02,25.6,50.9,0.005
6:14:00 pm,cold & wet,Off,0.005,Off,0.014,23.7,50,0.003
8:38:00 pm,var temp & humid,On,0.007,Off,0.018,29,77.9,0.004
11:02:00 pm,warm & dry,Off,0.008,Off,0.02,24.6,50.9,0.005
1:26:00 am,warm & dry,Off,0.008,Off,0.02,23.6,50.9,0.005
3:50:00 am,var temp & humid,On,0.007,Off,,29,60,0.004
6:14:00 am,warm & dry,Off,0.008,Off,0.02,25.6,50.9,0.005
8:38:00 am,var temp & humid,On,0.007,Off,0.019,29,78,0.004
11:02:00 am,warm & dry,Off,0.008,Off,0.02,26.6,50.9,0.005
1:26:00 pm,cold & wet,Off,0.005,Off,0.014,22.7,75.8,0.003
3:50:00 pm,warm & dry,Off,0.008,Off,0.02,23.6,50.9,0.005
6:14:00 pm,warm & dry,Off,0.008,Off,0.02,26.6,50.9,0.005
8:38:00 pm,var temp & humid,On,0.007,Off,0.019,31,77.9,0.004
11:02:00 pm,warm & dry,Off,0.008,Off,0.02,26.6,50.9,0.005
1:26:00 am,cold & wet,Off,0.005,Off,0.014,22.7,75.8,0.003
3:50:00 am,var temp & humid,On,0.007,Off,0.019,25,77.9,0.004
6:14:00 am,warm & dry,Off,0.008,Off,0.02,26.6,50.8,0.005
8:38:00 am,cold & wet,Off,0.005,Off,0.013,22.7,76,0.003
11:02:00 am,warm & dry,Off,0.008,Off,0.02,25.6,50.9,0.005
1:26:00 pm,cold & wet,Off,0.005,Off,0.013,22.8,76,0.003
3:50:00 pm,var temp & humid,On,0.007,Off,0.019,29,77.9,0.004
6:14:00 pm,warm & dry,Off,0.008,Off,0.02,23.6,50.9,0.005
